facility_name,Emission_Weighted_Score,name_clean,tender_score_exact,matched_name,match_score,tender_score,Emission_Scaled,Tender_Scaled,Final_Score,Relevance
AGL Loy Yang,66.49,agl loy yang,2.20,agl loy yang,100.00,2.20,1.00,0.44,0.83,High
EnergyAustralia Yallourn,58.73,energyaustralia yallourn,2.20,energyaustralia yallourn,100.00,2.20,0.88,0.44,0.75,High
ENGIE Hazelwood Power Station and Mine,57.62,engie hazelwood power station and mine,0.00,exmouth power station,76.47,2.20,0.87,0.44,0.74,High
SAPUTO DAIRY AUSTRALIA - COBRAM SITE,38.78,saputo dairy australia cobram site,0.00,saputo dairy australia,100.00,5.00,0.58,1.00,0.71,High
BORAL CEMENT LIMITED,37.40,boral cement,0.00,cement australia kandos,66.67,5.00,0.56,1.00,0.69,High
Enviropacific SOLVE Waste Soil Facility,51.45,enviropacific solve waste soil facility,0.00,enviropacific services,74.29,2.30,0.77,0.46,0.68,High
Energy Brix Aust Corp P/L,43.21,energy brix aust corp p l,0.00,cs energy,80.00,3.63,0.65,0.73,0.67,High
Longwarry Food Park,47.83,longwarry food park,2.20,longwarry food park,100.00,2.20,0.72,0.44,0.64,High
Oceania Glass (Dandenong site),48.17,oceania glass dandenong site,0.00,oceania glass,100.00,2.20,0.72,0.44,0.64,High
Encore Tissue,47.98,encore tissue,0.00,encore tissue aust,100.00,2.20,0.72,0.44,0.64,High
Melbourne Regional Landfill,48.26,melbourne regional landfill,0.00,landfill operations,65.22,2.21,0.73,0.44,0.64,High
Barwon Water Biosolids Management Project,47.97,barwon water biosolids management project,0.00,tronox management,74.07,2.21,0.72,0.44,0.64,High
Tongala,47.81,tongala,0.00,jonala,76.92,2.20,0.72,0.44,0.64,High
Wodonga Rendering,48.04,wodonga rendering,2.20,wodonga rendering,100.00,2.20,0.72,0.44,0.64,High
Wollert Landfill,48.27,wollert landfill,0.00,landfill operations,74.29,2.21,0.73,0.44,0.64,High
Maddingley Brown Coal,48.26,maddingley brown coal,2.20,maddingley brown coal,100.00,2.20,0.73,0.44,0.64,High
Diamond Valley Pork - Laverton North,47.12,diamond valley pork laverton north,0.00,diamond valley pork,100.00,2.20,0.71,0.44,0.63,High
Loy Yang B Power Station,47.74,loy yang b power station,0.00,agl loy yang,80.00,2.20,0.72,0.44,0.63,High
Taghleef Industries - Wodonga,46.97,taghleef industries wodonga,0.00,taghleef industries,100.00,2.20,0.71,0.44,0.63,High
CLEANAWAY DANIELS PTY LTD,46.63,cleanaway daniels,0.00,transpacific cleanaway,69.23,2.20,0.70,0.44,0.62,High
DEALS ROAD LANDFILL,46.24,deals road landfill,0.00,landfill gas and power,68.29,2.20,0.70,0.44,0.62,High
Wests Road Landfill,45.84,wests road landfill,0.00,landfill operations,68.42,2.21,0.69,0.44,0.62,High
BOLINDA ROAD LANDFILL,46.12,bolinda road landfill,0.00,landfill gas and power,65.12,2.20,0.69,0.44,0.62,High
Anglesea Landfill,45.38,anglesea landfill,0.00,landfill gas and power,71.79,2.20,0.68,0.44,0.61,High
COSGROVE LANDFILL,45.24,cosgrove landfill,0.00,landfill operations,66.67,2.21,0.68,0.44,0.61,High
Cobram Landfill,45.14,cobram landfill,0.00,landfill operations,70.59,2.21,0.68,0.44,0.61,High
KILMANY LANDFILL,45.49,kilmany landfill,0.00,landfill gas and power,66.67,2.20,0.68,0.44,0.61,High
Grantville Landfill,45.67,grantville landfill,0.00,landfill operations,68.42,2.21,0.69,0.44,0.61,High
Drysdale Resource Recovery Centre and Landfill,45.83,drysdale resource recovery centre and landfill,0.00,stapylton resource recovery,77.27,2.20,0.69,0.44,0.61,High
Alcoa Anglesea Power Station,44.63,alcoa anglesea power station,0.00,exmouth power station,76.47,2.20,0.67,0.44,0.60,High
Eaglehawk Landfill,44.18,eaglehawk landfill,0.00,landfill gas and power,65.00,2.20,0.66,0.44,0.60,High
COLAC,43.15,colac,0.00,australian lamb colac,100.00,2.20,0.65,0.44,0.59,High
Bowser Landfill,43.25,bowser landfill,0.00,landfill operations,70.59,2.21,0.65,0.44,0.59,High
QENOS PTY LTD,43.12,qenos,2.22,qenos,100.00,2.22,0.65,0.44,0.59,High
Thomas Foods International Stawell PTY LTD,42.97,thomas foods international stawell,2.20,thomas foods international stawell,100.00,2.20,0.65,0.44,0.58,High
Infrabuild Steel,54.68,infrabuild steel,0.00,,58.06,0.00,0.82,0.00,0.58,High
MCCORMACK DEMBY TIMBER PTY LTD,42.81,mccormack demby timber,2.20,mccormack demby timber,100.00,2.20,0.64,0.44,0.58,High
Bairnsdale Power Station,41.52,bairnsdale power station,0.00,exmouth power station,76.47,2.20,0.62,0.44,0.57,High
Anne Caudle Centre Cogeneration Plant,41.20,anne caudle centre cogeneration plant,0.00,osborne cogeneration,75.00,2.20,0.62,0.44,0.57,High
Oztek,41.16,oztek,0.00,oztek holdings,100.00,2.24,0.62,0.45,0.57,High
Hallam Rd Landfill,41.20,hallam rd landfill,0.00,landfill gas and power,65.00,2.20,0.62,0.44,0.57,High
Altona Manufacturing Plant,41.28,altona manufacturing plant,0.00,mcneil manufacturing,78.79,2.25,0.62,0.45,0.57,High
POTTERS INDUSTRIES PTY LTD,41.76,potters industries,2.20,potters industries,100.00,2.20,0.63,0.44,0.57,High
Tabro Meat,40.91,tabro meat,2.20,tabro meat,100.00,2.20,0.62,0.44,0.56,High
Nestle Foods,40.33,nestle foods,0.00,national foods,69.23,2.21,0.61,0.44,0.56,High
Wollert Plant,53.63,wollert plant,0.00,,60.00,0.00,0.81,0.00,0.56,High
Bairnsdale Regional Landfill,45.22,bairnsdale regional landfill,0.00,cairns regional council,70.59,1.36,0.68,0.27,0.56,High
Alfred Hospital Cogeneration Plant,40.76,alfred hospital cogeneration plant,0.00,osborne cogeneration,75.00,2.20,0.61,0.44,0.56,High
AUSTRALIAN MEAT GROUP DANDENONG,38.77,australian meat group dandenong,0.00,australian meat group,100.00,2.37,0.58,0.47,0.55,High
CSL Behring (Australia) Pty Ltd,45.32,csl behring australia,0.00,csl,100.00,1.24,0.68,0.25,0.55,High
SORBENT PAPER COMPANY PTY LTD,38.45,sorbent paper,2.20,sorbent paper,100.00,2.20,0.58,0.44,0.54,High
Midfield Protein Solutions,37.50,midfield protein solutions,2.49,midfield protein solutions,100.00,2.49,0.56,0.50,0.54,High
Visy Paper 2,38.70,visy paper 2,0.00,visy paper,100.00,2.20,0.58,0.44,0.54,High
Burra Foods Factory,38.90,burra foods factory,0.00,burra foods,100.00,2.20,0.59,0.44,0.54,High
Ecogen Jeeralang Power Station,38.00,ecogen jeeralang power station,0.00,exmouth power station,76.47,2.20,0.57,0.44,0.53,High
AUSTRALIAN TALLOW PRODUCERS PTY LTD,37.72,australian tallow producers,2.20,australian tallow producers,100.00,2.20,0.57,0.44,0.53,High
Midfield Meat Group,37.43,midfield meat group,0.00,midfield meat processing,81.25,2.20,0.56,0.44,0.53,High
Visy Board Wodonga,37.53,visy board wodonga,2.20,visy board wodonga,100.00,2.20,0.56,0.44,0.53,High
G & K O'CONNOR PTY LTD,38.15,g and k o connor,2.20,g and k o connor,100.00,2.20,0.57,0.44,0.53,High
Eureka Tiles Australia - Ballarat Manufacturing Facility,21.58,eureka tiles australia ballarat manufacturing facility,0.00,c3 australia,85.71,5.00,0.32,1.00,0.53,High
Iona Gas,37.61,iona gas,0.00,lochard energy iona operations,66.67,2.20,0.57,0.44,0.53,High
