registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
A T BUTLER P/L,Butler Campbellfield,VIC,Campbellfield,61 PAULSON RD,3061,2921,Waste Treatment and Disposal Services,Container reconditioning,46004471523,004471523,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004236
A.E. ASHCROFT,Ashville,QLD,Buccan,123 Hein Road,4207,0171,Poultry Farming (Meat),Meat Chicken Facility,59662535335,,,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2009/jurisdiction-facility/Q086ILB019
A.J. BAXTER PROPRIETARY LIMITED,DEALS ROAD LANDFILL,VIC,Clayton South,CNR DEALS RD & HEATHERTON RD,3169,2921,Waste Treatment and Disposal Services,Landfill,62004476519,004476519,http://www.cleanaway.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022863
A.J. BUSH & SONS (MANUFACTURES) PTY LTD,A J Bush and Sons Riverstone,NSW,Riverstone,1106 Windsor Road,2765,1111,Meat Processing,Rendering of meat/poultry co-products to produce protein meals and fats/tallow,94000058453,000058453,https://bushsproteins.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/836
A.J. BUSH & SONS (YANCO) PTY LTD,A.J. Bush & Sons Yanco,NSW,Yanco,Cudgel Street,2703,1111,Meat Processing,Livestock slaughtering - boning and rendering plant,43000420299,000420299,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2006/jurisdiction-facility/853
A2 MILK COMPANY (AUSTRALIA) PTY LTD,The A2 Milk Company (Australia) Pty Ltd,NSW,Smeaton Grange,28-34 Dunn Road,2567,1131,Milk and Cream Processing,Milk and cream processing,52125331213,,http://www.a2milk.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2016/jurisdiction-facility/1332
AAM POULTRY RATHDOWNEY PTY LTD,Rathdowney Poultry Farm,QLD,Rathdowney,4408 Boonah Rathdowney Road,4287,0171,Poultry Farming (Meat),Meat Chicken Facility,92671732380,671732380,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB026
ABAROO PTY LTD,ABAROO PTY LTD,WA,Hope Valley,65 Ashley Road,6165,0171,Poultry Farming (Meat),Chicken raising for meat production.,70008999255,,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2008/jurisdiction-facility/WA0655
ABBOTT AUSTRALASIA PTY LTD,Abbott Australasia Pty Ltd,NSW,Kurnell,Captain Cook Drive,2231,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Pharmaceutical formulation, warehousing and administration",95000180389,000180389,,2001/2002,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2002/jurisdiction-facility/534
ABM PLASTICS (AUST) P/L,ABM PLASTICS (AUST) P/L,VIC,Braeside,56-67 TARNARD DR,3195,1611,Printing,"Flexible packaging manufacturing, printing and laminating",59005028099,005028099,http://www.abmflexibles.aust.com/,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004205
