facility_name,Final_Score,Relevance,tender_score,matched_name,match_score,registered_business_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
AGL Loy Yang,0.83,High,2.20,agl loy yang,100.00,AGL LOY YANG PTY LTD,VIC,Traralgon,BARTONS LA,3844,2611,Fossil Fuel Electricity Generation,Operation of a brown coal open cut mine and 2200 MW power station,62077985758.00,77985758.00,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004339
EnergyAustralia Yallourn,0.75,High,2.20,energyaustralia yallourn,100.00,ENERGYAUSTRALIA YALLOURN PTY LTD,VIC,Yallourn North,YALLOURN NORTH RD,3825,2611,Fossil Fuel Electricity Generation,Power generation and mining,47065325224.00,65325224.00,http://www.energyaustralia.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004321
ENGIE Hazelwood Power Station and Mine,0.74,High,2.20,exmouth power station,76.47,NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,VIC,Morwell,"HAZELWOOD POWER COMPLEX, 1 BRODRIBB RD",3840,2611,Fossil Fuel Electricity Generation,"Up until 31 March 2017, Hazelwood was a nominal rated 1600 MW brown coal fired power station, supplying around 25% of Victoria's Electricity needs and an associated brown coal mine producing approx. 16.0 M t/y of brown coal & moving around 3.1 M m3/yr of overburden. The site ceased Power Station and coal mining operation on 31 March  2017, and is now in the process of demolition and rehabilitation activities. 
",51075257537.00,75257537.00,https://engie.com.au/,2017/2018,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2018/jurisdiction-facility/00004337
SAPUTO DAIRY AUSTRALIA - COBRAM SITE,0.71,High,5.00,saputo dairy australia,100.00,SAPUTO DAIRY AUSTRALIA PTY LTD,VIC,Cobram,BROADWAY ST,3644,1131,Milk and Cream Processing,Food processing plant. Dairy,52166135486.00,166135486.00,http://www.mgc.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004033
BORAL CEMENT LIMITED,0.69,High,5.00,cement australia kandos,66.67,BORAL CEMENT LIMITED,VIC,Waurn Ponds,170 RESERVOIR RD,3216,2031,Cement and Lime Manufacturing,Cement Manufacturing,62008528523.00,8528523.00,http://www.boral.com.au/Cement/cement.asp,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00004145
Enviropacific SOLVE Waste Soil Facility,0.68,High,2.30,enviropacific services,74.29,ENVIROPACIFIC SERVICES PTY LIMITED,VIC,Altona,541-583 KOROROIT CREEK RD,3018,2922,Waste Remediation and Materials Recovery Services,Waste soil treatment,43111372064.00,111372064.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030675
Energy Brix Aust Corp P/L,0.67,High,3.63,cs energy,80.00,ENERGY BRIX AUSTRALIA CORPORATION PTY LTD,VIC,Morwell,POWER STATION COMMERCIAL RD,3840,2611,Fossil Fuel Electricity Generation,Electricity generation and steam supply.,79074736833.00,74736833.00,http://www.ebac.com.au,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00004346
Barwon Water Biosolids Management Project,0.64,High,2.21,tronox management,74.07,TRILITY WATER PTY LTD,VIC,Connewarre,400 BLACKROCK RD,3227,2922,Waste Remediation and Materials Recovery Services,Processing biosolids into pellets.,94004012873.00,4012873.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030570
Maddingley Brown Coal,0.64,High,2.20,maddingley brown coal,100.00,MADDINGLEY BROWN COAL PTY LTD,VIC,Bacchus Marsh,EAST MADDINGLEY RD,3340,2921,Waste Treatment and Disposal Services,"Inert landfill accepting inert industrial wastes, category c contaminated soil.",27007397686.00,7397686.00,http://maddingleybrowncoal.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00007081
Wollert Landfill,0.64,High,2.21,landfill operations,74.29,HEIDELBERG MATERIALS AUSTRALIA RESOURCE RECOVERY PTY LTD,VIC,Wollert,BRIDGE INN RD,3750,2921,Waste Treatment and Disposal Services,Disposal of residual solid waste,59006299832.00,6299832.00,http://www.hansonlandfill.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022851
Tongala,0.64,High,2.20,jonala,76.92,H. W. GREENHAM & SONS PROPRIETARY LIMITED,VIC,Tongala,2121 FINLAY RD,3621,1111,Meat Processing,Meat Processing - Abattoir,26054461415.00,54461415.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004332
Wodonga Rendering,0.64,High,2.20,wodonga rendering,100.00,WODONGA RENDERING PTY LTD,VIC,Wodonga,54 KELLY ST,3690,1111,Meat Processing,"Processing livestock (beef, goats and sheep) in abattoir primarily for the export market. Rendering abattoir material to produce tallow, meat & bone meal and blood meal for the domestic and export market.
Salting small-stock skins for the export market.",67074885457.00,74885457.00,https://www.wodongaabattoir.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004409
Melbourne Regional Landfill,0.64,High,2.21,landfill operations,65.22,LANDFILL OPERATIONS PTY LTD,VIC,Truganina,RIDING BOUNDARY RD,3029,2921,Waste Treatment and Disposal Services,Waste Disposal Services,18603300358.00,603300358.00,http://www.cleanaway.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00016675
Encore Tissue,0.64,High,2.20,encore tissue aust,100.00,ENCORE TISSUE (AUST) PTY LTD,VIC,Laverton North,37-41 GILBERTSON RD,3026,1510,"Pulp, Paper and Paperboard Manufacturing",Manufacturing of Paper Personal Hygiene products,99104582523.00,104582523.00,http://www.encoretissue.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004857
Oceania Glass (Dandenong site),0.64,High,2.20,oceania glass,100.00,OCEANIA GLASS PTY LTD,VIC,Dandenong,95 GREENS RD,3175,2010,Glass and Glass Product Manufacturing,The manufacture and processing of float glass,99630152206.00,630152206.00,https://www.oceaniaglass.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004028
Longwarry Food Park,0.64,High,2.20,longwarry food park,100.00,LONGWARRY FOOD PARK PTY LTD,VIC,Longwarry,31-41 MACKEY ST,3816,1131,Milk and Cream Processing,Manufacture of milk products,78097262934.00,97262934.00,https://www.lactalis.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030724
Diamond Valley Pork - Laverton North,0.63,High,2.20,diamond valley pork,100.00,DIAMOND VALLEY PORK PTY LTD,VIC,Laverton North,13-15 THOMAS RD,3026,1111,Meat Processing,Meat processing,17095045695.00,95045695.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00024841
Loy Yang B Power Station,0.63,High,2.20,agl loy yang,80.00,EDISON MISSION ENERGY AUST LTD,VIC,Traralgon,LOY YANG B POWER STATION BARTONS LA,3844,2611,Fossil Fuel Electricity Generation,Brown Coal Fired Electricity Generation Facility.,87055563785.00,55563785.00,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00008622
Taghleef Industries - Wodonga,0.63,High,2.20,taghleef industries,100.00,TAGHLEEF INDUSTRIES PTY LTD,VIC,Wodonga,11 MOLONEY DR,3690,1911,Polymer Film and Sheet Packaging Material Manufacturing,Manufacture of polypropylene film,51005893112.00,5893112.00,http://www.ti-films.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00020295
CLEANAWAY DANIELS PTY LTD,0.62,High,2.20,transpacific cleanaway,69.23,CLEANAWAY DANIELS PTY LTD,VIC,Laverton North,110 DOHERTYS RD,3026,2921,Waste Treatment and Disposal Services,"Thermal treatment of prescribed industrial waste, including clinical and related wastes.",83060871249.00,60871249.00,http://www.cleanaway.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004294
DEALS ROAD LANDFILL,0.62,High,2.20,landfill gas and power,68.29,A.J. BAXTER PROPRIETARY LIMITED,VIC,Clayton South,CNR DEALS RD & HEATHERTON RD,3169,2921,Waste Treatment and Disposal Services,Landfill,62004476519.00,4476519.00,http://www.cleanaway.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022863
Wests Road Landfill,0.62,High,2.21,landfill operations,68.42,WYNDHAM CITY COUNCIL,VIC,Werribee,"WERRIBEE LANDFILL, WESTS RD",3030,2921,Waste Treatment and Disposal Services,Waste disposal (Non-prescribed waste only),38393903860.00,,http://www.wyndham.vic.gov.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00006959
BOLINDA ROAD LANDFILL,0.62,High,2.20,landfill gas and power,65.12,HUME CITY COUNCIL,VIC,Campbellfield,CNR BOLINDA RD & SYDNEY RD,3061,2921,Waste Treatment and Disposal Services,Municipal landfill,14854354856.00,,http://www.hume.vic.gov.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00006988
Drysdale Resource Recovery Centre and Landfill,0.61,High,2.20,stapylton resource recovery,77.27,GREATER GEELONG CITY COUNCIL,VIC,Drysdale,502-510 FOUNDS RD,3222,2921,Waste Treatment and Disposal Services,Resource Recovery and Landifll,18374210672.00,,https://www.geelongaustralia.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00007010
Grantville Landfill,0.61,High,2.21,landfill operations,68.42,BASS COAST SHIRE COUNCIL,VIC,Grantville,"GRANTVILLE GRAVEL RESERVE, CNR BASS HWY & STANLEY RD",3984,2921,Waste Treatment and Disposal Services,Waste disposal,81071510240.00,,http://www.basscoast.vic.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006943
KILMANY LANDFILL,0.61,High,2.20,landfill gas and power,66.67,WELLINGTON SHIRE COUNCIL,VIC,Kilmany,KILMANY LANDFILL LOT 1 & PART LOT 2 LP 79840 PARISH OF WOOUN DELLAH,3851,2921,Waste Treatment and Disposal Services,Landfill,18420243468.00,,http://www.wellington.vic.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006950
Cobram Landfill,0.61,High,2.21,landfill operations,70.59,MOIRA SHIRE COUNCIL,VIC,Cobram,PYE RD,3644,2921,Waste Treatment and Disposal Services,Landfill operation,20538141700.00,,,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00006929
Anglesea Landfill,0.61,High,2.20,landfill gas and power,71.79,SURF COAST SHIRE COUNCIL,VIC,Anglesea,COALMINE RD,3230,2921,Waste Treatment and Disposal Services,Landfill and transfer station,18078461409.00,,http://www.surfcoast.vic.gov.au,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00006993
COSGROVE LANDFILL,0.61,High,2.21,landfill operations,66.67,GREATER SHEPPARTON CITY COUNCIL,VIC,Pine Lodge,205 QUARRY ROAD,3631,2921,Waste Treatment and Disposal Services,Landfill,59835329843.00,,http://www.greatershepparton.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006942
