Name,Phone,Address,Website,ABN,URL
Able Mobile Sawmill,(02) 4782 9829,Katoomba NSW 2780,,26120575337,https://www.yellowpages.com.au/nsw/katoomba/able-mobile-sawmill-12390018-listing.html
Amalgamated Timber,0408 457 156,"PO Box 32, Highfields QLD 4352",,70767327919,https://www.yellowpages.com.au/qld/highfields/amalgamated-timber-13932465-listing.html
Robertson Bros Sawmills Pty Ltd,(07) 5482 2943,"30 Old Wolvi Rd, Gympie QLD 4570",http://www.robsaw.com.au,80010242083,https://www.yellowpages.com.au/qld/gympie/robertson-bros-sawmills-pty-ltd-13303353-listing.html
Adam's Sawmill Pty Ltd,(02) 6653 4216,"314 Gleniffer Rd, Bonville NSW 2450",http://www.adamssawmill.com,98002757477,https://www.yellowpages.com.au/nsw/bonville/adams-sawmill-pty-ltd-14959528-listing.html
Hogan Sawmill,(02) 6632 1173,"77 Kyogle Rd, Kyogle NSW 2474",,75001585682,https://www.yellowpages.com.au/nsw/kyogle/hogan-sawmill-11925338-listing.html
Gympie Timber Co Pty Ltd,(07) 5482 4699,"129 North Deep Creek Rd, Gympie QLD 4570",http://www.gympietimber.com.au,47009684342,https://www.yellowpages.com.au/qld/gympie/gympie-timber-co-pty-ltd-15019212-listing.html
Peachester Sawmilling Company Pty Ltd,(07) 5494 9515,"Commissioner's Flat Rd, Peachester QLD 4519",,51009710258,https://www.yellowpages.com.au/qld/peachester/peachester-sawmilling-company-pty-ltd-12182110-listing.html
Platypus Timbers,(07) 4954 0144,"393 Kuttabul-Mt Jukes Rd, Kuttabul QLD 4741",http://www.platypustimbers.com,60618320145,https://www.yellowpages.com.au/qld/kuttabul/platypus-timbers-14575985-listing.html
GRANTS SAWMILLING CO Pty Ltd,(02) 6959 1700,"140 River St, Narrandera NSW 2700",http://www.grantscypress.com.au/default.asp?_=Home,33108003229,https://www.yellowpages.com.au/nsw/narrandera/grants-sawmilling-co-pty-ltd-13001577-listing.html
Walker Cypress Mills Pty Ltd,(07) 4668 0138,"118 Taylor St, Cecil Plains QLD 4407",http://www.cypressmills.com.au,52001157008,https://www.yellowpages.com.au/qld/cecil-plains/walker-cypress-mills-pty-ltd-12453709-listing.html
Central Coast Saw milling,0418 408 150,Kulnura NSW 2250,http://www.ccsm.com.au,50655156605,https://www.yellowpages.com.au/nsw/kulnura/central-coast-saw-milling-14601988-listing.html
Dovetail Timbers,0429 132 929,Bonnet Hill TAS 7053,http://www.dovetailtimbers.com,67147644442,https://www.yellowpages.com.au/tas/bonnet-hill/dovetail-timbers-13926584-listing.html
North East Hardwoods,0439 664 743,Tyndale NSW 2460,http://www.northeasthardwoods.net,38769864372,https://www.yellowpages.com.au/nsw/tyndale/north-east-hardwoods-12821027-listing.html
Penrose Pine Products Pty Ltd,(02) 4884 4355,"1 Penrose Rd, Penrose NSW 2579",http://www.penrosepine.com.au,59153232574,https://www.yellowpages.com.au/nsw/penrose/penrose-pine-products-pty-ltd-12117114-listing.html
EyeWood,(03) 6393 2472,"13 Deviation Rd, Westbury TAS 7303",https://www.facebook.com/EyeWood-533670583422992,72372966506,https://www.yellowpages.com.au/tas/westbury/eyewood-1000002188300-listing.html
Wade Sawmill Pty Ltd,(07) 4122 3699,"7 Production Street,, Maryborough QLD 4650",http://www.wadesawmill.com.au,46011062034,https://www.yellowpages.com.au/qld/maryborough/wade-sawmill-pty-ltd-12333432-listing.html
McFadzen K I & J R,(07) 4950 5164,"537 Airstrip Rd, Nebo QLD 4742",,58079108930,https://www.yellowpages.com.au/qld/nebo/mcfadzen-k-i-j-r-11920179-listing.html
Log Check Forestry,0427 795 224,,,67620598209,https://www.yellowpages.com.au/sup/log-check-forestry-1000002822690-listing.html
Bowraville Sawmilling,0427 687 005,"Rodeo Dr, Bowraville NSW 2449",,95095489553,https://www.yellowpages.com.au/nsw/bowraville/bowraville-sawmilling-14249916-listing.html
Industrial Timber Sales Pty Ltd,(07) 3888 8827,"42 Ferrier Rd, Narangba QLD 4504",,47147889058,https://www.yellowpages.com.au/qld/narangba/industrial-timber-sales-pty-ltd-1000000757041-listing.html
S.T. Olive & Sons (Dingo) Pty Ltd,,,,71168433547,https://www.yellowpages.com.au/sup/st-olive-sons-dingo-pty-ltd-1000002776100-listing.html
Banana Road Timbers Pty Ltd,0408 066 127,"96 Banana Rd, Mororo NSW 2469",,26614879015,https://www.yellowpages.com.au/nsw/mororo/banana-road-timbers-pty-ltd-13772761-listing.html
Benaraby Sawmill,(07) 4975 0154,"199 Awoonga Dam Rd, Benaraby QLD 4680",,64140074951,https://www.yellowpages.com.au/qld/benaraby/benaraby-sawmill-13835963-listing.html
McKay Timber,(03) 6272 6941,"Wrights Ave, Glenorchy TAS 7010",,33009587964,https://www.yellowpages.com.au/tas/glenorchy/mckay-timber-1000002912515-listing.html
Henson Sawmilling,(02) 6644 7801,"230 Orchard Rd, Mountain View NSW 2460",,61006554543,https://www.yellowpages.com.au/nsw/mountain-view/henson-sawmilling-11954401-listing.html
Complete Greenwaste Services,0427 994 559,,,80431176722,https://www.yellowpages.com.au/sup/complete-greenwaste-services-13388939-listing.html
Schwabenforest Pty Ltd,(03) 6394 4395,Rosevears TAS 7277,,91881074645,https://www.yellowpages.com.au/tas/rosevears/schwabenforest-pty-ltd-12398064-listing.html
Radial Timber Australia,(03) 5182 6355,Yarram VIC 3971,,67007284380,https://www.yellowpages.com.au/vic/yarram/radial-timber-australia-13069148-listing.html
Sawnrite,(03) 5573 5269,Croxton East VIC 3301,,93070819179,https://www.yellowpages.com.au/vic/croxton-east/sawnrite-14825521-listing.html
LONG FLAT TIMBERS,(02) 6587 7253,Yarras NSW 2446,http://longflattimbers.com.au,59578772927,https://www.yellowpages.com.au/nsw/yarras/long-flat-timbers-1000002313811-listing.html
Hayter L M & Sons Pty Ltd,(02) 4653 1352,"950 Silverdale Rd, Werombi NSW 2570",,75070498074,https://www.yellowpages.com.au/nsw/werombi/hayter-l-m-sons-pty-ltd-12799743-listing.html
Dent Timbers Pty ltd,(02) 6644 7013,"56 Clark Rd, Trenayr NSW 2460",,15082157328,https://www.yellowpages.com.au/nsw/trenayr/dent-timbers-pty-ltd-13002758-listing.html
Townsville Pallet & Crate Manufacturers,(07) 4774 5284,"Enterprise St, Bohle QLD 4818",,28053241553,https://www.yellowpages.com.au/qld/bohle/townsville-pallet-crate-manufacturers-13517734-listing.html
Woodford Timbers Pty Ltd,(07) 5496 1008,"Sawmill Rd, Woodford QLD 4514",,58658339223,https://www.yellowpages.com.au/qld/woodford/woodford-timbers-pty-ltd-14993254-listing.html
Howard Sawmill,(07) 4129 4976,"10 Old Bruce Hwy, Howard QLD 4659",,20010602285,https://www.yellowpages.com.au/qld/howard/howard-sawmill-12186000-listing.html
Milwise Pty Ltd,0417 985 318,Bedfordale WA 6112,,39079908973,https://www.yellowpages.com.au/wa/bedfordale/milwise-pty-ltd-12406292-listing.html
A E Girle & Sons,(07) 4675 1104,"Taloom St, Yelarbon QLD 4388",,22478985281,https://www.yellowpages.com.au/qld/yelarbon/a-e-girle-sons-12284196-listing.html
Alex Bridge Timber Mill,0428 182 285,"295 Great North Rd, Nillup WA 6288",,48383139258,https://www.yellowpages.com.au/wa/nillup/alex-bridge-timber-mill-13772542-listing.html
Womblebank Sawmilling Co,(07) 4626 1191,"116 Womblebank Gap Rd, Injune QLD 4454",,52606649585,https://www.yellowpages.com.au/qld/injune/womblebank-sawmilling-co-13318987-listing.html
Newells Creek Sawmilling Pty Ltd,(02) 4997 8123,"Markwell Rd, Markwell NSW 2423",,70000215421,https://www.yellowpages.com.au/nsw/markwell/newells-creek-sawmilling-pty-ltd-13174266-listing.html
O'Briens Sawmill,(07) 4947 1503,"Sawmill Dr, Proserpine QLD 4800",,76504690727,https://www.yellowpages.com.au/qld/proserpine/obriens-sawmill-13363703-listing.html
Robertson Bros Sawmills Pty Ltd,(07) 5482 2943,"30 Old Wolvi Rd, Gympie QLD 4570",http://www.robsaw.com.au,80010242083,https://www.yellowpages.com.au/qld/gympie/robertson-bros-sawmills-pty-ltd-13303353-listing.html
Adam's Sawmill Pty Ltd,(02) 6653 4216,"314 Gleniffer Rd, Bonville NSW 2450",http://www.adamssawmill.com,98002757477,https://www.yellowpages.com.au/nsw/bonville/adams-sawmill-pty-ltd-14959528-listing.html
Gympie Timber Co Pty Ltd,(07) 5482 4699,"129 North Deep Creek Rd, Gympie QLD 4570",http://www.gympietimber.com.au,47009684342,https://www.yellowpages.com.au/qld/gympie/gympie-timber-co-pty-ltd-15019212-listing.html
Hogan Sawmill,(02) 6632 1173,"77 Kyogle Rd, Kyogle NSW 2474",,75001585682,https://www.yellowpages.com.au/nsw/kyogle/hogan-sawmill-11925338-listing.html
Peachester Sawmilling Company Pty Ltd,(07) 5494 9515,"Commissioner's Flat Rd, Peachester QLD 4519",,51009710258,https://www.yellowpages.com.au/qld/peachester/peachester-sawmilling-company-pty-ltd-12182110-listing.html
Platypus Timbers,(07) 4954 0144,"393 Kuttabul-Mt Jukes Rd, Kuttabul QLD 4741",http://www.platypustimbers.com,60618320145,https://www.yellowpages.com.au/qld/kuttabul/platypus-timbers-14575985-listing.html
McFadzen K I & J R,(07) 4950 5164,"537 Airstrip Rd, Nebo QLD 4742",,58079108930,https://www.yellowpages.com.au/qld/nebo/mcfadzen-k-i-j-r-11920179-listing.html
GRANTS SAWMILLING CO Pty Ltd,(02) 6959 1700,"140 River St, Narrandera NSW 2700",http://www.grantscypress.com.au/default.asp?_=Home,33108003229,https://www.yellowpages.com.au/nsw/narrandera/grants-sawmilling-co-pty-ltd-13001577-listing.html
Walker Cypress Mills Pty Ltd,(07) 4668 0138,"118 Taylor St, Cecil Plains QLD 4407",http://www.cypressmills.com.au,52001157008,https://www.yellowpages.com.au/qld/cecil-plains/walker-cypress-mills-pty-ltd-12453709-listing.html
Central Coast Saw milling,0418 408 150,Kulnura NSW 2250,http://www.ccsm.com.au,50655156605,https://www.yellowpages.com.au/nsw/kulnura/central-coast-saw-milling-14601988-listing.html
Dovetail Timbers,0429 132 929,Bonnet Hill TAS 7053,http://www.dovetailtimbers.com,67147644442,https://www.yellowpages.com.au/tas/bonnet-hill/dovetail-timbers-13926584-listing.html
North East Hardwoods,0439 664 743,Tyndale NSW 2460,http://www.northeasthardwoods.net,38769864372,https://www.yellowpages.com.au/nsw/tyndale/north-east-hardwoods-12821027-listing.html
Penrose Pine Products Pty Ltd,(02) 4884 4355,"1 Penrose Rd, Penrose NSW 2579",http://www.penrosepine.com.au,59153232574,https://www.yellowpages.com.au/nsw/penrose/penrose-pine-products-pty-ltd-12117114-listing.html
EyeWood,(03) 6393 2472,"13 Deviation Rd, Westbury TAS 7303",https://www.facebook.com/EyeWood-533670583422992,72372966506,https://www.yellowpages.com.au/tas/westbury/eyewood-1000002188300-listing.html
Wade Sawmill Pty Ltd,(07) 4122 3699,"7 Production Street,, Maryborough QLD 4650",http://www.wadesawmill.com.au,46011062034,https://www.yellowpages.com.au/qld/maryborough/wade-sawmill-pty-ltd-12333432-listing.html
Bowraville Sawmilling,0427 687 005,"Rodeo Dr, Bowraville NSW 2449",,95095489553,https://www.yellowpages.com.au/nsw/bowraville/bowraville-sawmilling-14249916-listing.html
Log Check Forestry,0427 795 224,,,67620598209,https://www.yellowpages.com.au/sup/log-check-forestry-1000002822690-listing.html
Able Mobile Sawmill,(02) 4782 9829,Katoomba NSW 2780,,26120575337,https://www.yellowpages.com.au/nsw/katoomba/able-mobile-sawmill-12390018-listing.html
Industrial Timber Sales Pty Ltd,(07) 3888 8827,"42 Ferrier Rd, Narangba QLD 4504",,47147889058,https://www.yellowpages.com.au/qld/narangba/industrial-timber-sales-pty-ltd-1000000757041-listing.html
S.T. Olive & Sons (Dingo) Pty Ltd,,,,71168433547,https://www.yellowpages.com.au/sup/st-olive-sons-dingo-pty-ltd-1000002776100-listing.html
Banana Road Timbers Pty Ltd,0408 066 127,"96 Banana Rd, Mororo NSW 2469",,26614879015,https://www.yellowpages.com.au/nsw/mororo/banana-road-timbers-pty-ltd-13772761-listing.html
