rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
1,ATCO POWER AUSTRALIA (KARRATHA) PTY LTD,15132830043,2611,3451,5,5.0,5.0
2,BIG COUNTRY (AUSTRALIA) PTY LTD,26066611863,0171,3443,5,5.0,5.0
3,BUMA AUSTRALIA PTY LTD,28649634579,0600,14312,5,5.0,5.0
4,CHEVRON AUSTRALIA PTY LTD,29086197757,0700,3677,5,5.0,5.0
5,EDL PROJECTS (AUSTRALIA) PTY LTD,37084776616,2611,3560,5,5.0,5.0
6,ENERGY BRIX AUSTRALIA CORPORATION PTY LTD,79074736833,2611,3782,5,5.0,5.0
7,ENI AUSTRALIA LIMITED,40009475389,0700,5260,5,5.0,5.0
8,ESSO AUSTRALIA PTY LTD,49000018566,0700,14317,5,5.0,5.0
9,FQM AUSTRALIA NICKEL PTY LTD,92135761465,0990,3494,5,5.0,5.0
10,GYPSUM RESOURCES AUSTRALIA PTY. LIMITED,65008021449,0990,1393,5,5.0,5.0
11,HEIDELBERG MATERIALS AUSTRALIA PTY LTD,90009679734,0911,3440,5,5.0,5.0
12,HEIDELBERG MATERIALS AUSTRALIA RESOURCE RECOVERY PTY LTD,59006299832,2921,3439,5,5.0,5.0
13,HESS EXPLORATION AUSTRALIA PTY LIMITED,37122238699,0700,1393,5,5.0,5.0
14,IBERDROLA AUSTRALIA SAGT PTY LIMITED,77635710360,2611,1395,5,5.0,5.0
15,IMERYS TALC AUSTRALIA PTY LTD,62095284469,0990,3439,5,5.0,5.0
16,JADESTONE ENERGY (AUSTRALIA) PTY LTD,48613671819,0700,3605,5,5.0,5.0
17,MACH ENERGY AUSTRALIA PTY LTD,34608495441,0600,3636,5,5.0,5.0
18,MOBIL EXPLORATION & PRODUCING AUSTRALIA PTY LTD,81004588827,0700,3439,5,5.0,5.0
19,NEXEN PETROLEUM AUSTRALIA PTY LIMITED,71086689616,0700,1393,5,5.0,5.0
20,NORTHERN OIL & GAS AUSTRALIA PTY LTD,25607646579,0700,3440,5,5.0,5.0
21,ORICA AUSTRALIA PTY LTD,99004117828,2922,14322,5,5.0,5.0
22,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65077890932,0600,3641,5,5.0,5.0
23,RATCH AUSTRALIA COLLINSVILLE PTY LTD,84058436847,2611,3439,5,5.0,5.0
24,RATCH-AUSTRALIA KEMERTON PTY LTD,69106619112,2611,3439,5,5.0,5.0
25,RATCH-AUSTRALIA TOWNSVILLE PTY LIMITED,65075001991,2611,1393,5,5.0,5.0
26,REMONDIS AUSTRALIA PTY LTD,95002429781,2921,3506,5,5.0,5.0
27,SHELL AUSTRALIA FLNG PTY LTD,32008551068,0700,3442,5,5.0,5.0
28,SUVO MINERALS AUSTRALIA PTY LTD,51004584141,0990,3439,5,5.0,5.0
29,VEOLIA ENVIRONMENTAL SERVICES (AUSTRALIA) PTY LTD,20051316584,2921,3885,5,5.0,5.0
30,VEOLIA WATER AUSTRALIA PTY LTD,99061161279,2811,3483,5,5.0,5.0
31,VERMILION OIL & GAS AUSTRALIA PTY LTD,29113023591,0700,3440,5,5.0,5.0
32,VISY INDUSTRIES AUSTRALIA PTY LTD,74004337615,2922,3628,5,5.0,5.0
33,FULTON HOGAN CONSTRUCTION PTY LTD,46010240758,0990,73,5,4.11,4.64
34,BCD TECHNOLOGIES,51010873855,2921,1113,5,4.01,4.6
35,EARTHPOWER TECHNOLOGIES SYDNEY PTY LTD,71085528427,2921,293,5,3.71,4.48
36,TRANSWASTE TECHNOLOGIES PTY LTD,88078935109,2921,279,5,3.7,4.48
37,CS ENERGY LTD,54078848745,2611,306,5,3.63,4.45
38,THE TRUSTEE FOR SHREEM TRUST,99289331050,0171,1122,5,3.49,4.4
39,TRUSTEE FOR THE KEMBAH TRUST,87459942467,0171,1122,5,3.49,4.4
40,CRISTAL PIGMENT AUSTRALIA LTD,50008683627,2921,209,5,3.38,4.35
41,LMS ENERGY PTY LTD,39059428474,2922,238,5,3.22,4.29
42,MAIN CONSTRUCTIONS PTY LTD,58129163873,0171,170,5,3.05,4.22
43,NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,51075257537,2611,130,5,3.04,4.22
44,QUARRY SOLUTIONS PTY LTD,13133700848,0990,466,5,2.49,4.0
45,SUEZ MEDICAL SOLUTIONS PTY LTD,54119885700,2921,506,5,2.5,4.0
46,UNIMIN AUSTRALIA LIMITED,20000971844,0990,105,5,2.44,3.98
47,ALCOA OF AUSTRALIA LIMITED,93004879298,2922,130,5,2.43,3.97
48,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42008737424,2811,97,5,2.43,3.97
49,OCEANIC COAL AUSTRALIA LIMITED,39003856782,0600,97,5,2.43,3.97
50,APA OPERATIONS PTY LTD,79123090933,2611,159,5,2.38,3.95
51,HV OPERATIONS PTY LTD,76606478399,0600,159,5,2.38,3.95
52,TEC OPERATIONS PTY LTD,46062135871,2611,159,5,2.38,3.95
53,ENVIROPACIFIC SERVICES PTY LIMITED,43111372064,2922,58,5,2.3,3.92
54,OIL INVESTMENTS PTY LTD,29007603349,0700,173,5,2.27,3.91
55,QUANTUM TECHNICAL SERVICES PTY LTD,23004284315,2921,337,5,2.27,3.91
